mass,elevation,northing,frost_days,freeze_days,growing_days,long,lat
8.5,2393.72314453125,39.40416717529297,207.30728149414062,15.30593490600586,60.4066162109375,-105.47278,39.40556
7,64.15872955322266,39.51250076293945,23,0.9350478649139404,157.09597778320312,-121.5574146,39.51355303
5.9,1665.860595703125,39.545833587646484,178.90074157714844,14.672722816467285,90.06024169921875,-107.7838304,39.54398682
7.3,402.9007263183594,39.72083282470703,147.8656463623047,10.484123229980469,119.28657531738281,-96.63371,39.71815
7,1757.130615234375,40.412498474121094,182.36483764648438,10.336036682128906,59.026031494140625,-121.3735146,40.41628333
7.7,1574.3148193359375,40.62916564941406,174.31419372558594,12.632266998291016,84.73876953125,-105.142597,40.6267
8.8,252.44985961914062,42.662498474121094,178.42958068847656,16.987335205078125,86.774627685546875,-77.9604,42.6664
6.9,301.8650207519531,42.6875,179.9351806640625,17.649639129638672,85.393218994140625,-77.959171,42.685063
5.1,1329.3773193359375,43.64583206176758,185.50059509277344,20.4764404296875,87.8035888671875,-108.21139,43.64611
7.35,120.96529388427734,44.00416564941406,184,23.75791358947754,81.338287353515625,-75.98409188,44.00700217
9,94.8349609375,44.02916717529297,185.880126953125,23.507617950439453,80.4476318359375,-76.04515011,44.02795652
6.45,1186.8121337890625,44.37916564941406,187,25.250303268432617,86.845855712890625,-108.03833,44.38
8.2,331.85992431640625,44.537498474121094,197,30.82916259765625,81.3353271484375,-89.55931843,44.53916842
6.9,1149.8876953125,44.795833587646484,192.26968383789062,21.160982131958008,75.598663330078125,-106.95556,44.79722
5.4,1203.5675048828125,44.87916564941406,197.03274536132812,20.53167152404785,72.358428955078125,-107.26167,44.87528
9.233333333,264.6683044433594,45.295833587646484,185,32.43495559692383,89.313629150390625,-93.5833333,45.3
6.45,32.43461990356445,47.912498474121094,48.98307418823242,2.519075393676758,86.27239990234375,-122.0981404,47.91291997
6.725,10.571027755737305,48.76250076293945,59.06825256347656,3.0401687622070312,78.820526123046875,-122.4881805,48.75953075
6,35.51791000366211,57.76250076293945,167.96539306640625,14.753796577453613,35.35247802734375,-152.5169889,57.7641475
6.5886363635,59.02116775512695,58.329166412353516,148.46640014648438,15.249212265014648,40.039337158203125,-134.59887,58.33136
6.75,17.30385971069336,58.6875,219,42.266998291015625,32.558013916015625,-156.661389,58.688333
7.2536363635,120.57673645019531,59.454166412353516,166.8856964111328,21.206485748291016,45.48333740234375,-135.31701,59.45198
7.5,70.78978729248047,59.454166412353516,162.9787139892578,20.032285690307617,47.121124267578125,-135.32916,59.45799
8.042857143,142.05487060546875,59.50416564941406,176.17166137695312,25.206571578979492,41.21978759765625,-135.2641,59.50268
5.6,132,64.8375015258789,228,99.7804183959961,44.34326171875,-147.719,64.84
5.4,271.58221435546875,64.85416412353516,225,91.61375427246094,40.693756103515625,-148.04854,64.85539592
8.966666667,294.01556396484375,59.52083206176758,227,93.17070007324219,41.241363525390625,-112.2208398,59.52443731
9.913636364,225.52435302734375,60.05416488647461,228,95.5456771850586,40.646759033203125,-112.6789459,60.0516462
9.625,263.41693115234375,59.73749923706055,227.10748291015625,94.19782257080078,41.115142822265625,-112.2184442,59.73902798
9.940740741,259.78472900390625,59.75416564941406,227,94.16207122802734,41.224273681640625,-112.2019882,59.75191402
8.221621622,1483.2734375,47.12083435058594,210.7183380126953,22.558874130249023,52.462677001953125,-111.006973,47.12429
6.72,1874.7734375,41.8125,191.61141967773438,21.627220153808594,63.8272705078125,-111.6242,41.814193
11.20540541,1532.667236328125,53.02916717529297,236.01918029785156,49.04829406738281,27.9791259765625,-117.33,53.03
10.55,351.6112365722656,45.295833587646484,200.56764221191406,37.48516845703125,68.380096435546875,-76.9,45.3
9.55,376.49432373046875,47.40416717529297,224.31553649902344,56.20859909057617,55.1727294921875,-80.435,47.4018
12.56,221.8619842529297,53.10416793823242,217,72.97295379638672,54.1263427734375,-99.16,53.1
9.1230057145,694.3740234375,43.23749923706055,203.61563110351562,27.320823669433594,65.960693359375,-73.038697,43.240711
10.3,412.3380126953125,48.97916793823242,236.8623809814453,62.07090377807617,41.95550537109375,-87.4,48.98
9.5,239.42819213867188,46.287498474121094,208.21006774902344,38.705535888671875,61.27020263671875,-81.859,46.29
7.7625,2229.630126953125,44.92916488647461,242.45571899414062,40.98697280883789,37.89898681640625,-110.67,44.93
11.34,1129.8565673828125,60.26250076293945,264.0498352050781,77.70069122314453,21.003753662109375,-133.3349,60.2647
8.733333333,1239.1551513671875,60.36249923706055,265.760009765625,72.38861083984375,17.951171875,-134.589,60.3626
